ell1,ell2,abs_dot
16,18,0.4837331653222401
16,19,0.7203036602775902
16,20,0.47154848845244823
16,21,0.9850846414859941
16,22,0.7877357599353363
16,23,0.6131842174840064
16,24,0.6698433219783546
16,25,0.7367732058647207
16,26,0.7668703759041431
16,27,0.8661231811682397
16,28,0.8272774411407844
16,29,0.33027948018196096
16,30,0.17591051480609754
17,18,0.5974355485922505
17,19,0.16377659287785962
17,20,0.08568652487021386
17,21,0.49528489759955424
17,22,0.06461708547042187
17,23,0.08158679303869149
17,24,0.29476696907886324
17,25,0.34779530634535427
17,26,0.6802661622498754
17,27,0.5478957173331822
17,28,0.7944766485275444
17,29,0.3681340341440924
17,30,0.08387536222794531
18,19,0.5295728063840628
18,20,0.009172898564536874
18,21,0.3274755563813219
18,22,0.8339267945539905
18,23,0.3138235646725469
18,24,0.02808581676786187
18,25,0.49116000822352446
18,26,0.1603787223548873
18,27,0.33921455412482715
18,28,0.08773252559300118
18,29,0.23256579468567976
18,30,0.25448003514302014
19,20,0.8477401443936996
19,21,0.6579807241460494
19,22,0.45320231653921084
19,23,0.9685762926080512
19,24,0.8501608037998221
19,25,0.12668054011296398
19,26,0.10865833156605706
19,27,0.27963790346716794
19,28,0.434503221610571
19,29,0.36736343639309355
19,30,0.6453924505299191
20,21,0.4862492031882823
20,22,0.04063203750645927
20,23,0.9520088589395458
20,24,0.9594343622120036
20,25,0.24782479670724367
20,26,0.08133524119874244
20,27,0.015633239587626968
20,28,0.47078618049858734
20,29,0.6601230278152901
20,30,0.9450520405927217
21,22,0.696117046229008
21,23,0.5812065565040654
21,24,0.7011241816239879
21,25,0.7158077255042233
21,26,0.8110857466152231
21,27,0.8808488235916656
21,28,0.9115873194245219
21,29,0.3343863006185061
21,30,0.21703628711791673
22,23,0.22923977248653815
22,24,0.13173866504367243
22,25,0.8801193530371544
22,26,0.6784719294111657
22,27,0.7993927873172761
22,28,0.3864422404711314
22,29,0.617483248256941
22,30,0.36459832439008716
23,24,0.926111191000049
23,25,0.06511117148890061
23,26,0.004361802620864552
23,27,0.14120342174403316
23,28,0.44143446053197277
23,29,0.5383228804875528
23,30,0.8146919667368216
24,25,0.006246360934832718
24,26,0.2017237318077194
24,27,0.286109984728865
24,28,0.6967097587253475
24,29,0.42840819310571654
24,30,0.8470825200023744
25,26,0.9196928626441665
25,27,0.9476654868135213
25,28,0.5694333545174022
25,29,0.875159835532972
25,30,0.5257790778593338
26,27,0.9785424202854685
26,28,0.8098959944551659
26,29,0.7926890569803191
26,30,0.3100513389904512
27,28,0.8014801811078797
27,29,0.7405523044387168
27,30,0.25691048636835423
28,29,0.29220225450574483
28,30,0.2989492014610255
29,30,0.8248012678653992
